dd_id,deployment
450908,TT011
450909,TT011
450910,TT011
450911,TT011
450912,TT011
450913,TT011
450914,TT011
450915,TT011
450916,TT011
450917,TT011
450918,TT011
450919,TT011
450920,TT011
450921,TT011
450922,TT011
450923,TT011
450924,TT011
450925,TT011
450926,TT011
450927,TT011
450928,TT011
450929,TT011
450930,TT011
450931,TT011
450932,TT011
450933,TT011
450934,TT011
450935,TT011
450936,TT011
450937,TT011
450938,TT011
450939,TT011
450940,TT011
450941,TT012
450942,TT012
450943,TT012
450944,TT012
450945,TT012
450946,TT012
450947,TT012
450948,TT012
450949,TT012
450950,TT012
450951,TT012
450952,TT012
450953,TT012
450954,TT012
450955,TT012
450956,TT012
450957,TT012
450958,TT012
450959,TT012
450960,TT012
450961,TT012
450962,TT012
450963,TT012
450964,TT012
450965,TT012
450966,TT012
450967,TT012
450968,TT012
450969,TT012
450970,TT012
450971,TT012
450972,TT012
450973,TT013
450974,TT013
450975,TT013
450976,TT013
450977,TT013
450978,TT013
450979,TT013
450980,TT013
450981,TT013
450982,TT013
450983,TT013
450984,TT013
450985,TT013
450986,TT013
450987,AESOPS_Array
450988,AESOPS_Array
450989,NBP-98-2
450990,NBP-96-5
450991,NBP-96-5
450992,NBP-96-5
450993,NBP-96-5
450994,NBP-96-5
450995,AESOPS_Array
450996,KIWI6
450997,KIWI8
450998,NBP-96-4
450999,NBP-96-4
451000,NBP-96-4
451001,NBP-96-4
451002,NBP-96-4
451003,NBP-96-4
451004,NBP-96-4
